,,,,,,,,,,Bits 15:0,,VIN_GAIN
,,ADC_CH_SEL01,MTP Only,0x0DE,222,Protected,16,0x0095,,POR,,Soft-trim in adc_ctrl
,,,,,,,,,,Bits 15:9,,PARITY
,,,,,,,,,,Bit 8,,SPARE
,,,,,,,,,,Bits 7:4,,CH_SEL03
,,,,,,,,,,Bits 3:0,,CH_SEL02
,,ADC_OFFSET_02,MTP Only,0x0E0,224,Protected,16,0xCCB5,,POR,,"Used direct from NVM, no soft-trim"
,,,,,,,,,,Bits 15:0,,IIN_OFFSET
,,ADC_GAIN_02,MTP Only,0x0E2,226,Protected,16,0x8000,,POR,,"Used direct from NVM, no soft-trim"
,,,,,,,,,,Bits 15:0,,IIN_GAIN
,,ADC_OFFSET_03,MTP Only,0x0E4,228,Protected,16,0xB000,,POR,,"Used direct from NVM, no soft-trim"
,,,,,,,,,,Bits 15:0,,VCP_OFFSET
